19:56:15.643 [qtp7664470-21] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:false
19:56:15.643 [qtp7664470-24] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:false
19:56:15.647 [qtp7664470-21] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:false
19:56:15.650 [qtp7664470-25] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:false
19:56:15.753 [qtp7664470-20] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:false
19:56:15.759 [qtp7664470-23] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:28.219 [qtp7664470-24] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:28.555 [qtp7664470-26] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:35.929 [qtp7664470-23] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:36.316 [qtp7664470-21] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:43.070 [qtp7664470-23] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:43.470 [qtp7664470-21] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:43.471 [qtp7664470-25] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
19:56:43.471 [qtp7664470-20] INFO  o.s.m.w.filter.SiteMeshWrapperFilter - isAjax:true
20:50:18.350 [main] INFO  org.hibernate.ejb.Ejb3Configuration - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
20:50:18.368 [main] INFO  o.h.s.j.c.i.ConnectionProviderInitiator - HHH000130: Instantiating explicit connection provider: org.hibernate.ejb.connection.InjectedDataSourceConnectionProvider
20:50:18.370 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
20:50:18.370 [main] INFO  o.h.e.j.internal.LobCreatorBuilder - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
20:50:18.385 [main] INFO  o.h.e.t.i.TransactionFactoryInitiator - HHH000268: Transaction strategy: org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory
20:50:18.385 [main] INFO  o.h.h.i.a.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
20:50:18.456 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
20:50:18.456 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000102: Fetching database metadata
20:50:18.457 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000396: Updating schema
20:50:18.465 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: lpgx.clpgx_company
20:50:18.465 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [logo, sssf, clsj, fax, net_adress, sscs, short_name, lx, id, lxr, address, email, lxdh, full_name]
20:50:18.465 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
20:50:18.465 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [primary]
20:50:18.472 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: lpgx.clpgx_dept
20:50:18.472 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, remark, name, code]
20:50:18.472 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: []
20:50:18.472 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [primary]
20:50:18.478 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000261: Table found: lpgx.clpgx_task
20:50:18.478 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000037: Columns: [id, title, description, user_id]
20:50:18.478 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000108: Foreign keys: [fk_e3r9c605soxhr0qas6x5oabmo]
20:50:18.478 [main] INFO  o.h.tool.hbm2ddl.TableMetadata - HHH000126: Indexes: [fk_e3r9c605soxhr0qas6x5oabmo, primary]
